,d01-x01-y01_bins_low,d01-x01-y01NPC_4,d01-x01-y01error_NPC_4,d02-x01-y01_bins_low,d02-x01-y01NPC_4,d02-x01-y01error_NPC_4,d03-x01-y01_bins_low,d03-x01-y01NPC_4,d03-x01-y01error_NPC_4,d04-x01-y01_bins_low,d04-x01-y01NPC_4,d04-x01-y01error_NPC_4
0,97.0,1.0079923075865482,0.00843074284514262,97.0,1.0047937564641642,0.008506785624392716,97.0,1.0074816004535876,0.008990778274471,97.0,0.9925233277516897,0.009618761557765972
1,133.0,0.9910659953801115,0.00793705999560491,133.0,0.9830533117344941,0.008019021737284216,133.0,1.0051175975010929,0.00860243856190864,133.0,0.9974088473372014,0.00966219417905637
2,174.0,1.0113446877411079,0.007960694626246908,174.0,1.0141689158982514,0.008308035580676712,174.0,0.9940263220569036,0.008656269393406385,174.0,1.0105065810697258,0.009809176970027441
3,220.0,0.993441057656996,0.007849641835552904,220.0,0.9846376409523866,0.008042027061116924,220.0,1.0094344922146379,0.008938866067037067,220.0,1.0069049238352237,0.009656730428389788
4,272.0,1.0077202629485518,0.007983378128799014,272.0,0.9998367658920384,0.008232803491008656,272.0,0.9959987520364608,0.008638570455072428,272.0,0.9883229484414452,0.009543474875809374
5,330.0,0.9832835716992954,0.007874823193258553,330.0,0.9776750876849982,0.008039319251042449,330.0,0.9881632831277284,0.008848736347750233,330.0,0.9983840951645402,0.010095242574700765
6,395.0,0.9955859132760687,0.008145395116698177,395.0,0.9724594235361902,0.008249926313168041,395.0,0.9833182303914733,0.00909463033629623,395.0,0.9903490865787408,0.0109423916988585
7,468.0,0.9840365014016444,0.008323061544064023,468.0,0.9749569871350138,0.008623906379972185,468.0,1.001663512860409,0.010528292880105426,468.0,0.9860976042525121,0.01181956443165409
8,548.0,0.9905984319825403,0.008720415773685746,548.0,0.9836166275816594,0.009035445764986447,548.0,0.9895228463848909,0.010114957364531298,548.0,0.9678049394022739,0.012480528835791944
9,638.0,0.9841309799400048,0.008920380648118443,638.0,0.9890592494849646,0.009802309314526119,638.0,0.9939101303600388,0.011100592501761892,638.0,0.9929340299030186,0.015058366373776567
10,737.0,0.9981037425905316,0.009676066704171175,737.0,0.998974131682341,0.010316699460668845,737.0,0.9812548446516435,0.011836992546594292,737.0,0.9898728260397781,0.018045264148376344
11,846.0,1.0012808660987094,0.010548699458833296,846.0,0.9865749990864412,0.01105900790196598,846.0,1.0017114117857504,0.013431796232259733,846.0,0.9731932634564388,0.0207046884033142
12,967.0,0.9690088512755617,0.010851982008021456,967.0,1.009583404054265,0.012759449695736775,967.0,1.0000725821085104,0.016145262475243685,967.0,1.0100075396953017,0.02824256015872435
13,1101.0,0.9909237569493213,0.011971902381306456,1101.0,0.9785124083823316,0.013635295795667855,1101.0,0.9738357467274685,0.017447801378309504,1101.0,0.9780517525019903,0.03881096155145155
14,1248.0,0.960286320380118,0.013243891740974428,1248.0,0.9660568532498921,0.015292989506476153,1248.0,0.9919177830951194,0.021420392867907652,1248.0,1.0995206344366986,0.06211155235847925
15,1410.0,0.9936563922772781,0.014831301926726584,1410.0,0.9931459956731274,0.017569325388580498,1410.0,0.9766472745001753,0.02657603790817855,1410.0,1.0745247495513168,0.09700509921452691
16,1588.0,0.9830404380791914,0.01661959659552452,1588.0,0.9783123625672259,0.01967209059240849,1588.0,1.0474044156066407,0.03783909067828112,,,
17,1784.0,0.9812955025360375,0.020446993581770986,1784.0,1.0097045078765265,0.02740646118760469,1784.0,1.0362936249478167,0.05713233872251061,,,
18,2000.0,1.0306711769448968,0.025334437491648952,2000.0,0.9765568841485858,0.03280427450856262,2000.0,0.9669994606815684,0.07219655780783424,,,
19,2238.0,0.936475883337929,0.029842295030826107,2238.0,1.065500979031777,0.046887613143342444,,,,,,
20,2500.0,0.9053652683423578,0.038332945388897366,2500.0,1.0820329647487428,0.07983771901682059,,,,,,
21,2787.0,1.0786348212744852,0.06449102495259675,,,,,,,,,
